	SRR1171523	SRR1171525	SRR1171524	SRR1171527	SRR1171526	SRR1171528
ENSG00000141506.13	1761.22721583008	1830.11280489063	1885.37632221957	1412.22966814753	1400.46966023457	1491.38367237732
ENSG00000141510.16	6749.69171558678	6789.6308477342	6829.89250727088	7981.25255319999	7908.12469833949	7707.15052168145
ENSG00000141519.14	13.0983717424434	15.5837173380788	14.9080890001547	22.0504277496421	14.9303801730765	30.0278591753823
ENSG00000141522.11	15775.4774131874	14828.8810295156	14018.5730231455	16305.2890286899	15280.7464278046	15065.9778769285
ENSG00000141524.15	5947.6683381264	5938.37028814165	5900.62162626123	5854.38856752997	5973.14742790879	5868.44461150887
ENSG00000141526.15	12476.7028682059	10816.0738149603	11344.0618565177	11905.2264004658	12061.7564624894	11338.5196246243
ENSG00000141540.10	235.770691363981	212.328148731324	235.547806202444	232.53178354168	201.06245299743	219.203371980291
ENSG00000141542.10	165.240997366209	155.837173380788	101.375005201052	170.389668974507	200.067094319224	207.192228310138
ENSG00000141543.9	4396.01507017542	4477.39678769676	4077.85927784232	5257.02243394876	5342.09002592676	5132.76206171201
ENSG00000141551.14	5947.6683381264	5777.66320309271	5677.00029125891	5748.14559746351	5575.00395662675	5503.10565820839
ENSG00000141552.17	1913.36984145384	1642.13421450005	1527.58218621585	1556.55974069064	1636.36966696918	1513.40410243927
ENSG00000141556.20	1912.36227439673	1832.06076955789	1799.90327861868	2706.18886018334	2729.27349563838	2861.65497941393
ENSG00000141560.14	1115.37673222191	1091.83419599915	1048.53559301088	1242.84229134346	1128.73674108458	1167.08279328319
ENSG00000141562.17	2705.31754834311	2285.93653702943	2694.38861862796	2027.63706079663	2346.06040452941	2222.06157897829
ENSG00000141564.13	1773.31802051541	1744.40235953119	1624.98170101686	2505.73042609569	2579.96969390761	2559.37453038175
ENSG00000141568.20	2895.7477221371	2770.00575684351	2766.94131842871	3528.06843994273	3362.32161497682	3472.22144931337
ENSG00000141569.10	2122.94378933294	1957.70449059615	1832.70107441902	2776.34931211402	2654.62159477299	2736.5388995165
ENSG00000141570.10	491.692723870182	374.983198447521	436.310071404528	422.967295924952	406.10634070768	375.348239692278
ENSG00000141574.7	16.1210729137765	26.297523008008	12.9203438001341	6.01375302262965	5.97215206923058	8.00742911343527
ENSG00000141576.14	191.437740851095	164.603014383457	171.939959801784	237.543244393871	203.05317035384	256.237731629929
ENSG00000141577.13	559.199716696621	524.976477826529	509.856643805291	531.214850332286	501.660773815369	447.415101713196
ENSG00000141580.15	1505.30518332388	1386.95084308901	1526.58831361584	1466.3534453512	1464.1726156397	1435.33166858327
ENSG00000141582.14	1347.11715535745	1209.68605836837	1307.93634161357	1333.04858668291	1361.65067178457	1347.24994833548
ENSG00000141622.13	40.3026822844411	37.0113286779371	35.7794136003713	54.1237772036669	54.7447273012803	50.0464319589705
ENSG00000141627.13	3115.3973405873	3037.85089859173	3178.40457483298	3197.3120236981	3083.62118507939	3240.00600502375
ENSG00000141642.8	640.812648322614	539.586212830978	651.980425606766	538.230895525354	574.321957324341	556.516323383751
ENSG00000141644.17	4554.20309814185	4501.74634603751	4678.15832824855	4272.77152257837	4388.53641220627	4246.94021603823
ENSG00000141646.13	4227.75137163788	4465.7089996932	4490.3164068466	4787.94969818364	4664.25076606908	4672.33488768948
ENSG00000141655.15	1225.20154144701	1001.25383897156	1259.23658421307	1032.36093555142	1035.1730253333	999.92771054023
ENSG00000141664.9	1931.50604848184	1970.36626093334	2114.96089282195	1347.08067706904	1384.54392138329	1427.32423946984
ENSG00000141665.11	74.5599622262161	64.282834019575	54.6629930005673	118.270476111717	105.50801988974	89.0826488869674
ENSG00000141682.11	1289.68583310212	1338.25172640752	1336.75864701387	1597.65371967861	1615.46713472687	1630.51275322326
ENSG00000141696.12	267.005270134423	259.07930074556	232.566188402413	246.563873927816	242.867517482044	265.246089382543
ENSG00000141698.16	1693.72022300364	1597.33102715308	1536.52703961595	1602.6651805308	1663.24435128072	1643.52482553259
ENSG00000141699.10	1880.12012856918	1831.08678722426	1899.29053861971	1692.87147587025	1728.93802404225	1618.5016095531
ENSG00000141736.13	349.625768817527	303.882488092536	297.167907403084	310.710572835865	282.681864610248	304.28230631054
ENSG00000141741.11	741.569354033717	724.642856220664	634.09071880658	622.423437842169	635.038836694852	643.59711499236
ENSG00000141748.12	2.01513411422206	0.973982333629924	0.993872600010314	2.00458434087655	2.98607603461529	1.00092863917941
ENSG00000141750.6	4.03026822844411	2.92194700088977	3.97549040004126	0	0.995358678205097	6.00557183507645
ENSG00000141753.6	4799.04189301983	4374.15466033199	4654.3053858483	5396.34104563968	5025.56596625753	5068.70262880453
ENSG00000141756.18	217.634484335982	212.328148731324	210.700991202187	76.174204953309	52.7540099448701	55.0510751548675
ENSG00000141759.14	2960.2320137922	2679.42539981592	2520.46091362616	3181.27534897109	2985.08067593709	3091.86856642519
ENSG00000141837.19	29.2194446562198	20.4536290062284	21.8651972002269	11.025213874821	9.95358678205097	16.0148582268705
ENSG00000141854.8	9.06810351399926	0.973982333629924	2.98161780003094	2.00458434087655	0	1.00092863917941
ENSG00000141858.11	2764.76400471266	2591.76698978923	2544.3138560264	2525.77626950446	2670.54733362428	2457.27980918545
ENSG00000141867.17	5374.36268263023	5669.55116405979	5426.54439605631	5384.31353959442	5237.57736471522	5170.79735000083
ENSG00000141873.10	1547.62299972254	1370.3931434173	1221.46942541268	1810.13965981153	1592.57388512816	1613.49696635721
ENSG00000141905.17	4327.50051029187	4454.02121168964	4195.13624464353	4456.19098976857	4275.06552289089	4404.0860123894
ENSG00000141933.9	329.474427675306	272.715053416379	270.333347202805	282.646392063594	256.802538976915	207.192228310138
ENSG00000141934.9	1.00756705711103	1.94796466725985	2.98161780003094	1.00229217043828	0.995358678205097	2.00185727835882
ENSG00000141956.13	424.185731043743	493.809043150372	465.132376804827	678.551799386713	616.127021808955	648.601758188257
ENSG00000141959.16	14144.2263477246	13121.4899986623	13223.4749431372	12727.1059802252	12262.8189154868	11725.8790079868
ENSG00000141965.4	2776.85480939799	2699.87902882215	2597.98297642696	2948.74356542941	2876.58658001273	2873.66612308408
ENSG00000141968.7	4714.4062602225	4545.57555105086	4451.5553754462	3939.00822982242	3668.89208786399	3941.65698108851
ENSG00000141971.12	847.363895030375	797.691531242908	680.802731007065	738.689329613009	717.653606985875	699.649118786407
ENSG00000141977.9	4.03026822844411	1.94796466725985	0	3.00687651131483	2.98607603461529	2.00185727835882
ENSG00000141979.4	638.797514208392	650.62019886479	629.121355806529	631.444067376114	592.238413532033	610.56646989944
ENSG00000141985.9	2398.00959592425	2302.49423670114	2197.4523186228	2106.81814226126	2049.44351842429	1933.79413089462
ENSG00000141994.15	1248.37558376056	1156.11703001872	1107.17407641149	1338.0600475351	1316.85953126534	1308.21373140749
ENSG00000142002.16	2797.00615054022	2779.7455801798	2578.10552442675	3153.21116819882	3005.98320817939	3087.86485186848
ENSG00000142039.3	1153.66428039213	1244.74942237904	1103.19858601145	992.269248733893	1037.16374268971	968.898922725668
ENSG00000142046.14	165.240997366209	177.264784720646	165.976724201722	163.373623781439	154.28059512179	154.143010433629
ENSG00000142065.13	244.83879487798	294.142664756237	309.094378603208	309.708280665427	311.547266278195	327.303665011667
ENSG00000142082.14	462.473279213962	452.901785137915	445.254924804621	501.146085219138	493.697904389728	465.431817218425
ENSG00000142089.15	3806.58834176547	3228.7514359832	3684.28572823823	1148.62682732226	1060.05699228843	1013.94071148874
ENSG00000142102.15	1364.24579532833	1487.27102345289	1462.98046721518	1548.54140332714	1393.50214948714	1334.23787602615
ENSG00000142149.8	4.03026822844411	3.8959293345197	9.93872600010314	5.01146085219138	2.98607603461529	5.00464319589704
ENSG00000142156.14	210.581514936205	187.004608056946	190.82353920198	345.790798801205	287.658658001273	330.306450929205
ENSG00000142166.12	2214.63239153004	2196.33016233548	2325.66188402413	2075.74708497767	2105.18360440378	2241.0792231227
